"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"90,00";"90,74";"12"
"TUW-138011";"76,90";"71,67";"70,82";"12"
"TUW-138447";"53,97";"33,21";"33,74";"11"
"TUW-138544";"98,18";"88,81";"89,36";"12"
"TUW-138547";"98,18";"91,07";"90,52";"12"
"TUW-139299";"71,78";"61,95";"62,79";"9"
"TUW-139761";"42,36";"44,69";"38,03";"10"
"TUW-139769";"63,95";"55,28";"56,25";"10"
"TUW-139781";"71,44";"72,08";"60,62";"11"
"TUW-139785";"50,06";"46,99";"45,76";"10"
"TUW-140047";"91,37";"84,90";"83,24";"10"
"TUW-140048";"88,12";"72,70";"75,27";"12"
"TUW-140229";"95,45";"75,00";"79,17";"12"
"TUW-140253";"91,03";"86,54";"85,04";"13"
"TUW-140308";"86,25";"84,46";"80,10";"16"
"TUW-140533";"40,09";"31,88";"32,32";"11"
"TUW-140867";"88,15";"64,29";"62,35";"13"
"TUW-140895";"59,10";"53,03";"50,31";"11"
"TUW-140983";"90,91";"69,05";"70,00";"14"
"TUW-141024";"71,29";"85,50";"67,66";"10"
"TUW-141065";"93,94";"84,72";"85,39";"12"
"TUW-141121";"81,82";"75,00";"75,00";"12"
"TUW-141140";"92,82";"86,67";"84,81";"10"
"TUW-141336";"79,91";"63,24";"66,21";"17"
"TUW-141618";"64,20";"65,00";"58,08";"10"
"TUW-141758";"73,15";"71,00";"68,39";"11"
"TUW-168222";"89,00";"75,00";"74,54";"12"
"TUW-168482";"36,52";"41,21";"34,49";"11"
"TUW-169511";"81,06";"83,79";"81,57";"11"
"TUW-172697";"96,43";"56,25";"56,25";"12"
"TUW-174216";"75,36";"77,75";"70,09";"17"
"TUW-175428";"74,52";"57,36";"58,80";"11"
"TUW-176087";"85,83";"60,71";"62,68";"13"
"TUW-177140";"84,09";"81,67";"77,78";"12"
"TUW-179146";"78,79";"74,24";"64,10";"11"
"TUW-180162";"94,67";"60,75";"65,58";"12"
"TUW-181199";"85,45";"86,81";"77,85";"12"
"TUW-182414";"75,00";"63,13";"64,29";"12"
"TUW-182899";"75,00";"56,08";"60,63";"13"
"TUW-185321";"66,67";"77,78";"61,82";"9"
"TUW-185441";"73,33";"70,71";"59,89";"10"
"TUW-186227";"70,71";"70,00";"58,61";"10"
"TUW-189842";"63,98";"69,94";"58,12";"14"
"TUW-191715";"78,32";"73,51";"72,29";"11"
"TUW-191977";"100,00";"91,67";"91,67";"12"
"TUW-192724";"92,50";"79,49";"80,64";"13"
"TUW-194085";"40,66";"51,18";"41,14";"11"
"TUW-194561";"69,01";"78,67";"66,31";"15"
"TUW-194660";"63,64";"76,00";"60,10";"10"
"TUW-197422";"88,89";"80,72";"81,08";"12"
"TUW-197852";"73,61";"69,64";"64,46";"14"
"TUW-198400";"92,42";"79,56";"81,43";"12"
"TUW-198401";"100,00";"91,03";"91,61";"13"
"TUW-198405";"97,62";"55,56";"56,19";"12"
"TUW-198408";"83,50";"65,17";"66,89";"12"
"TUW-200745";"48,33";"41,78";"36,91";"11"
"TUW-200748";"63,85";"66,69";"60,05";"11"
"TUW-200948";"84,85";"78,61";"78,16";"12"
"TUW-200950";"69,52";"77,78";"67,01";"12"
"TUW-200959";"59,04";"68,31";"55,68";"11"
"TUW-201066";"68,18";"88,89";"69,70";"9"
"TUW-201160";"68,18";"82,22";"66,67";"9"
"TUW-201167";"80,00";"74,07";"63,64";"9"
"TUW-201821";"98,33";"90,77";"90,77";"13"
"TUW-202034";"44,08";"37,77";"35,90";"11"
"TUW-202824";"70,83";"62,96";"62,96";"9"
"TUW-203409";"100,00";"88,89";"88,89";"9"
"TUW-203924";"98,64";"89,67";"89,67";"11"
"TUW-204724";"77,38";"52,69";"51,79";"13"
"TUW-205557";"44,44";"42,86";"31,11";"7"
"TUW-205933";"54,29";"37,04";"38,56";"9"
"TUW-213513";"90,91";"100,00";"93,94";"11"
"TUW-216744";"63,00";"50,00";"49,15";"13"
"TUW-217690";"95,00";"88,64";"87,27";"11"
"TUW-217971";"77,27";"89,00";"71,78";"10"
"TUW-221215";"43,56";"47,99";"40,08";"11"
"TUW-223906";"90,91";"64,29";"67,14";"14"
"TUW-223973";"84,75";"78,70";"77,79";"11"
"TUW-225252";"83,33";"75,93";"77,04";"9"
"TUW-226000";"88,33";"79,55";"79,87";"11"
"TUW-226016";"36,22";"52,41";"32,76";"11"
"TUW-228620";"67,78";"37,92";"40,17";"14"
"TUW-231707";"43,78";"18,33";"19,89";"10"
"TUW-233317";"98,61";"91,03";"91,03";"13"
"TUW-233657";"95,83";"58,12";"58,52";"13"
"TUW-236063";"87,50";"61,67";"64,67";"10"
"TUW-236120";"88,99";"75,09";"75,05";"13"
"TUW-237297";"79,54";"66,36";"62,65";"9"
"TUW-240858";"96,21";"86,81";"87,44";"12"
"TUW-245336";"69,05";"53,62";"55,97";"8"
"TUW-245799";"77,81";"45,12";"44,42";"14"
"TUW-247301";"95,45";"89,39";"90,74";"11"
"TUW-247741";"87,20";"62,07";"63,87";"13"
"TUW-247743";"66,95";"59,76";"52,21";"11"
"TUW-251544";"77,71";"46,53";"47,13";"13"
"TUW-252847";"90,91";"71,43";"71,43";"14"
"TUW-255712";"99,31";"65,78";"65,99";"9"
"TUW-256654";"77,78";"58,33";"58,33";"12"
"TUW-257397";"81,43";"50,00";"48,65";"12"
"TUW-257870";"69,09";"55,71";"54,56";"14"
"Average";"77,35";"68,25";"65,20"
