"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"Margit Pohl --- Vienna University of Technology,Austria,AT
Monika Lanzenberger --- Vienna University of Technology,Austria,AT";"Monika Lanzenberger --- Vienna University of Technology,Austria,AT";"100,00";"50,00";"66,67"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"Mar Marcos --- Universitat Jaume I,Dept. of Computer Science
Frank Van Harmelen --- Vrije Universiteit Amsterdam,Dept. of Artificial Intelligence
Peter Votruba --- Institute of Software Technology and Interactive Systems
Marije Geldof --- Vrije Universiteit Amsterdam,Dept. of Artificial Intelligence
Annette Ten Teije --- Vrije Universiteit Amsterdam,Dept. of Artificial Intelligence";"Marije Geldof --- Vrije Universiteit Amsterdam, Dept. of Artificial Intelligence
Mar Marcos --- Universitat Jaume I, Dept. of Computer Science
Peter Votruba --- Institute of Software Technology and Interactive Systems
Annette ten Teije --- Vrije Universiteit Amsterdam, Dept. of Artificial Intelligence
Frank van Harmelen --- Vrije Universiteit Amsterdam, Dept. of Artificial Intelligence";"100,00";"100,00";"100,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138447-xstream.xml"")";"Alessandro Artusi --- Vienna University of Technology,Austria,AT
Alexander Wilkie --- Vienna University of Technology,Austria,AT";"";"none extracted value";"0,00";"0,00"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138544-xstream.xml"")";"Horst Eidenberger --- Vienna University of Technology,Austria (Europe)";"";"none extracted value";"0,00";"0,00"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138547-xstream.xml"")";"Horst Eidenberger --- Vienna University of Technology,Austria,AT";"Horst Eidenberger --- Vienna University of Technology, Institute of Software Technology and Interactive Systems Favoritenstrasse 9-11,Austria,AT";"100,00";"100,00";"100,00"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-139299-xstream.xml"")";"";"";"none extracted value";"none expected";"NA"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-139761-xstream.xml"")";"Andreas Heigl --- Technischen Universität Wien,Computer Graphik und Algorithmen";"Andreas Heigl --- der Technischen Universitat Wien
Univ.-Prof. Dr. Michael Hanke --- der Technischen Universitat Wien";"0,00";"0,00";"0,00"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-139769-xstream.xml"")";"Daniel Lichtenberger --- Technischen Universität Wien,Institut für Computergrafik und Algorithmen";"unter der Anleitung von --- durch Daniel Lichtenberger Matr. Nr.
unter der Anleitung von --- a.o. Univ.-Prof. Dipl.-Ing. Dr. G u ?nther Raidl Univ.-Ass. Dipl.-Ing. Jakob Puchinger";"0,00";"0,00";"0,00"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-139781-xstream.xml"")";"Günther R Raidl --- Vienna University of Technology,Institute of Computer Graphics and Algorithms,Austria,AT
Jakob Puchinger --- Vienna University of Technology,Institute of Computer Graphics and Algorithms,Austria,AT
Martin Gruber --- Vienna University of Technology,Institute of Computer Graphics and Algorithms,Austria,AT";"";"none extracted value";"0,00";"0,00"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-139785-xstream.xml"")";"Daniel Wagner --- Technischen Universität Wien,Institut für Computergraphik und Algorithmen 186";"";"none extracted value";"0,00";"0,00"
"TUW-140047";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-140047.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-140047-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-140047-xstream.xml"")";"Andreas Rauber --- Vienna University of Technology,Department of Software Technology and Interactive Systems,Austria,AT
Thomas Lidy --- Vienna University of Technology,Department of Software Technology and Interactive Systems,Austria,AT";"Thomas Lidy Andreas Rauber --- Vienna University of Technology Department of Software Technology and Interactive Systems Favoritenstrasse 9-11/188,Austria,AT";"0,00";"0,00";"0,00"
"TUW-140048";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-140048.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-140048-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-140048-xstream.xml"")";"Marco Zapletal --- University of Vienna
Michael Ilger --- University of Vienna";"Marco Zapletal --- University of Vienna
Michael Ilger --- University of Vienna";"100,00";"100,00";"100,00"
